Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ATL,47,30.4,4.50,162,6152,5498,729,1432,263,24,174,696,85,46,493,1039,.260,.324,.412,.736,87,2265,132,45,64,52,51,1095
BAL,46,30.0,4.24,162,6151,5472,687,1359,262,24,136,663,133,53,514,989,.248,.319,.380,.699,88,2077,121,77,38,49,26,1106
BOS,48,30.0,4.80,161,6264,5605,772,1493,316,29,198,739,46,35,520,1131,.266,.334,.439,.773,101,2461,132,70,28,41,50,1161
CHC,43,30.7,4.80,162,6219,5406,777,1409,268,32,194,748,67,36,577,1077,.261,.336,.430,.766,101,2323,132,66,117,53,72,1156
CHW,42,28.4,4.93,162,6151,5464,798,1463,300,29,214,770,123,59,520,998,.268,.334,.451,.785,102,2463,128,52,63,51,31,1054
CIN,50,28.0,4.54,162,6222,5583,735,1464,304,22,176,690,103,54,468,1172,.262,.324,.419,.744,87,2340,130,65,66,40,47,1115
CLE,44,31.0,5.54,162,6357,5600,897,1559,294,37,212,868,79,41,577,1076,.278,.350,.458,.807,111,2563,126,69,49,62,32,1136
COL,53,28.2,5.70,162,6394,5690,923,1663,324,61,213,874,132,54,511,1027,.292,.354,.483,.837,97,2748,116,61,81,50,50,1158
DET,44,28.2,4.47,162,6145,5537,724,1439,291,60,139,691,133,61,466,972,.260,.320,.409,.730,97,2267,120,51,41,49,26,1093
HOU,45,30.3,5.23,162,6325,5528,847,1500,313,29,208,805,64,49,581,1119,.271,.347,.451,.798,100,2495,128,89,71,56,52,1151
KCR,44,28.3,4.50,162,6176,5643,729,1503,277,37,152,691,100,42,406,898,.266,.318,.409,.727,86,2310,134,44,36,47,31,1086
LAD,41,30.2,4.68,162,6169,5493,758,1399,264,27,206,714,89,42,519,1062,.255,.323,.425,.748,99,2335,115,56,57,44,45,1075
MIL,46,29.4,4.57,162,6148,5488,740,1378,273,30,209,712,66,36,488,1399,.251,.319,.426,.745,93,2338,102,72,65,35,44,1067
MIN,42,26.3,4.76,162,6185,5560,771,1514,328,38,164,717,146,67,495,1083,.272,.337,.433,.770,101,2410,124,64,25,38,42,1101
NYM,44,30.4,3.96,162,6156,5459,642,1361,273,18,147,608,66,48,545,1062,.249,.323,.387,.710,87,2111,124,65,52,35,59,1181
NYY,47,31.1,4.99,161,6233,5577,804,1488,289,20,203,774,161,53,519,1035,.267,.334,.435,.769,100,2426,119,64,30,43,38,1123
OAK,42,27.4,5.46,162,6385,5573,884,1469,334,22,199,835,68,29,640,1021,.264,.345,.439,.784,107,2444,131,88,25,59,57,1171
PHI,46,26.9,4.60,162,6219,5497,746,1431,295,29,164,708,153,47,551,1125,.260,.329,.414,.743,93,2276,104,43,67,61,52,1157
PIT,49,27.7,4.06,162,6027,5398,657,1333,256,25,161,618,93,73,467,1106,.247,.313,.393,.706,79,2122,114,67,60,35,51,1058
SDP,48,28.9,4.87,162,6278,5482,789,1379,273,26,161,753,129,44,678,1273,.252,.336,.399,.735,97,2187,121,41,29,48,37,1160
SEA,35,31.3,5.72,162,6474,5680,927,1637,310,38,169,881,174,42,614,989,.288,.360,.445,.805,117,2530,112,62,48,70,54,1257
SFG,41,31.4,4.93,162,6408,5612,799,1493,304,40,235,775,57,42,625,1090,.266,.342,.460,.802,112,2582,108,50,67,54,79,1242
STL,40,28.8,5.02,162,6177,5450,814,1469,274,32,199,768,91,35,529,1089,.270,.339,.441,.780,100,2404,125,65,83,50,51,1095
TEX,51,29.8,5.49,162,6388,5685,890,1566,326,23,246,844,97,32,548,1093,.275,.344,.471,.815,109,2676,131,75,25,55,27,1161
TOR,41,28.2,4.73,162,6284,5663,767,1489,287,36,195,728,156,55,470,1094,.263,.325,.430,.755,96,2433,111,74,34,43,47,1124